name;open;high;low;close;volume;marketCap;timestamp
"2781";68633.3164817051;69117.6968794935;68407.3770182134;68470.0298698437;32871387340.35;1346783663359.42;"2024-04-04T19:00:00.000Z"
"2781";68457.762469392;68564.7716521632;67382.216219605;67954.8840468076;34157058313.36;1336634025247.19;"2024-04-04T20:00:00.000Z"
"2781";67941.8507205781;68135.5777879572;67534.3454447717;67720.9173045225;34206970981.31;1332626182750.01;"2024-04-04T21:00:00.000Z"
"2781";67738.1298579402;68064.138313767;67622.1468099617;67943.8816262229;33904677703.53;1336707103526.97;"2024-04-04T22:00:00.000Z"
"2781";67945.1785167588;68549.3341802611;67916.8482633359;68508.8418444563;34439527441.54;1347932221575.71;"2024-04-04T23:00:00.000Z"
"2781";68515.7542604507;68725.7583568213;68196.9009353994;68685.0787005655;34537425741.62;1351263395131.26;"2024-04-05T00:00:00.000Z"
"2781";68672.6616642722;68678.1687633227;67881.5486719483;68206.706061234;34983480269.38;1341893411908.7;"2024-04-05T01:00:00.000Z"
"2781";68208.5156560991;68208.5156560991;67490.9750620527;67602.3308129238;35064968387.68;1329841483930.77;"2024-04-05T02:00:00.000Z"
"2781";67595.9154965979;68017.593841564;67595.9154965979;67874.7577395828;35395425762.93;1335195269318.86;"2024-04-05T03:00:00.000Z"
"2781";67868.0487012337;68042.3851478916;67499.9863234196;67637.9740980792;35128730565.88;1330686482715.1;"2024-04-05T04:00:00.000Z"
"2781";67638.5023958156;67752.015498365;66428.6988239022;66926.6743512541;36247479356.19;1316702015280.2;"2024-04-05T05:00:00.000Z"
"2781";66927.6749797518;67169.9086430218;66803.0999016252;67147.0041660015;36669059730.56;1320946928573.73;"2024-04-05T06:00:00.000Z"
"2781";67143.442992506;67161.761532944;66842.9492449779;66897.8743883746;36422372691.34;1316084827195.79;"2024-04-05T07:00:00.000Z"
"2781";66895.9226104616;67645.9383204153;66895.9226104616;67105.22121839;36857270962.06;1320302368778.51;"2024-04-05T08:00:00.000Z"
"2781";67110.2981047261;67148.677165261;66397.5796966352;66823.0187439734;37644585564.88;1314697031815.25;"2024-04-05T09:00:00.000Z"
"2781";66825.3816768857;67202.2693792436;66747.8589911023;67030.564113928;38021258766.04;1318736104590;"2024-04-05T10:00:00.000Z"
"2781";67030.3449805471;67082.8848986304;66429.2279290243;66429.2279290243;38302089074.08;1306452674382.15;"2024-04-05T11:00:00.000Z"
"2781";66405.9876420992;66877.5337701732;66011.4794922177;66876.7246437028;39659936153.77;1316002046681.1;"2024-04-05T12:00:00.000Z"
"2781";66891.3749135316;67600.7039633019;66560.9228776039;67600.7039633019;39448571215.44;1329137418522.79;"2024-04-05T13:00:00.000Z"
"2781";67558.5206997823;68597.4442569991;67374.9192943137;68233.8605651312;39979882227.37;1342423965888.8;"2024-04-05T14:00:00.000Z"
"2781";68249.2127465542;68280.4565372219;67674.5878321994;68102.9672849278;40117497589.34;1339841813325.32;"2024-04-05T15:00:00.000Z"
"2781";68102.6127310253;68382.5052723943;67758.2198740773;67914.5733060842;39968113726.47;1336322008076.29;"2024-04-05T16:00:00.000Z"
